room_type,person_capacity,space_type,region,country,total_booked_nights,total_available_or_booked_nights,month
Entire home/apt,7,Apartment,Essos,Pike's Peak,3.0,3.0,1/1/17
Entire home/apt,4,Apartment,Essos,Bear Island,6.0,28.0,1/1/17
Entire home/apt,6,House,Westland,Springfield,21.0,29.0,1/1/17
Entire home/apt,4,Apartment,Westland,Westeros,10.0,28.0,1/1/17
Entire home/apt,4,Apartment,Westland,Springfield,26.0,33.0,1/1/17
Entire home/apt,6,Apartment,Essos,Bear Island,25.0,28.0,1/1/17
Entire home/apt,6,House,Westland,Westeros,22.0,24.0,1/1/17
Entire home/apt,7,House,Westland,Springfield,7.0,29.0,1/1/17
Private room,2,House,Southland,King's Landing,31.0,139.0,1/1/17
Entire home/apt,10,House,Essos,Bear Island,4.0,22.0,1/1/17
Entire home/apt,2,Cabin,Westland,Springfield,26.0,33.0,1/1/17
Entire home/apt,4,House,Westland,Springfield,15.0,23.0,1/1/17
Entire home/apt,3,Cabin,Westland,Springfield,3.0,3.0,1/1/17
Entire home/apt,3,Cabin,Southland,Dorne,4.0,157.0,1/1/17
Entire home/apt,4,Apartment,Essos,Bear Island,0.0,0.0,1/1/17
Entire home/apt,8,Apartment,Westland,Springfield,2.0,11.0,1/1/17
Entire home/apt,2,Cabin,Westland,Springfield,6.0,29.0,1/1/17
Entire home/apt,2,Cabin,Westland,Springfield,3.0,8.0,1/1/17
Entire home/apt,4,House,Westland,Springfield,10.0,29.0,1/1/17
Entire home/apt,6,House,Westland,Springfield,12.0,26.0,1/1/17
Entire home/apt,8,House,Hogwarts,Dragonstone,8.0,24.0,1/1/17
Entire home/apt,2,Apartment,Southland,King's Landing,90.0,157.0,1/1/17
Entire home/apt,4,Apartment,Essos,Pike's Peak,25.0,28.0,1/1/17
Entire home/apt,2,Apartment,Southland,King's Landing,108.0,139.0,1/1/17
Entire home/apt,8,Cabin,La La Land,Tarth,4.0,18.0,1/1/17
Entire home/apt,3,Apartment,Southland,River run,49.0,144.0,1/1/17
